Chencha Berrinches,Hotel California
No Doubt,Hey Baby
The Hillbilly Moon Explosion,Remember (Walking in the Sand)
Mick Jagger,God Gave Me Everything
Robbie Williams,The Road to Mandalay
Depeche Mode,Heaven
Mika,"Relax, Take It Easy"
The Killers,Battle Born
David Guetta,She Wolf (Falling to Pieces)
OneRepublic,All the Right Moves
Fly Project,Musica
Amy Macdonald,This Is the Life
Keane,Snowed Under
Morandi,Colors
Nelly Furtado,Turn Off the Light
Walk Off the Earth,Somebody That I Used to Know
Willie Bobo,Trinidad
The Monkees,"Mary, Mary"
Knoc-Turn'al,Muzik
Dusty Springfield,If You Go Away
Connie Francis,He's Just a Scientist
Peggy Lee,Fever
Green Day,Boulevard of Broken Dreams
Jamelia,Beware of the Dog
Michael Jackson,Billie Jean
Red Hot Chili Peppers,Californication
The Subways,Rock & Roll Queen
Kingdom Come,Should Have Known
Johnny Cash,Ring of Fire
Johnny Cash,Hurt
David Ippolito,Talk Louder
Simple Minds,Don't You (Forget About Me)
Avicii,Wake Me Up
Empire of the Sun,We Are the People
Fran,Hypnotized
Black Strobe,I'm a Man
Marky Mark,Good Vibrations (feat. Loleatta Holloway)
The Strokes,One Way Trigger
Wire,Adapt
R.E.M.,"What's The Frequency, Kenneth?"
The Verve,Rather Be
Nirvana,The Man Who Sold the World
Nirvana,Verse Chorus Verse
Nirvana,Dumb
Coldplay,Paradise
Swedish House Mafia,Greyhound
Kavinsky,Nightcall
TLC,Waterfalls
Carbon Based Lifeforms,Supersede
Jimi Hendrix,All Along The Watchtower [Alternate Take]
Depeche Mode,Freelove
Wolfsheim,Once in a Lifetime
And One,Military Fashion Show [Club Hit]
Marilyn Manson,Rock Is Dead
Rage Against the Machine,Wake Up
Arcade Fire,Normal Person
The Chemical Brothers,Hey Boy Hey Girl
RÜFÜS,Paris Collides
Bon Iver,Calgary
The Puppini Sisters,Mr Sandman
Die Antwoord,Enter the Ninja
Nish,Sagittarius [Alphazone Remix]
Bee Gees,Stayin' Alive
Mika,Elle me dit
Lake,No Wonder I
Blur,The Universal
Paul McCartney,Live and Let Die
Scissor Sisters,Take Your Mama
The Cranberries,Dreams
Clint Mansell,Leaving Earth
Bobby Darin,Dream Lover
Limp Bizkit,Take A Look Around
blink-182,Obvious
The xx,Together
Placebo,Rob the Bank
Keane,Perfect Symmetry
The Rolling Stones,Like a Rolling Stone
Avicii,I Could Be the One [Avicii Vs Nicky Romero]
Garbage,When I Grow Up
Phil Collins,In The Air Tonight
Cats on Fire,Your Woman
Gnarls Barkley,Crazy
Brandon Flowers,Crossfire
Evanescence,What You Want
MGMT,Kids
U2,Mysterious Ways
Quiet Riot,Cum on Feel the Noize
Michael Jackson,Thriller
The Handsome Family,Far from Any Road
Erasure,Always
Edie,Through
Nirvana,Smells Like Teen Spirit
Luciano Pavarotti,Please Forgive Me
Joan Baez,"Don't Think Twice, It's All Right"
Mumiy Troll,Tak Nado (That's How It Should Be)
Foreigner,I Want to Know What Love Is
Edie,Through
Ludovico Einaudi,Primavera
Rod Stewart,What A Wonderful World
Yes,Owner Of A Lonely Heart
Suede,Beautiful Ones
Machinae Supremacy,Death from Above
David Bowie,New Killer Star
Adele,Rolling in the Deep
Keane,Better Than This
The Darkness,I Believe in a Thing Called Love
The Offspring,Come Out and Play
Coldplay,Life In Technicolor ii
Alice Cooper,Ghouls Gone Wild
Red Hot Chili Peppers,Give It Away
The Chemical Brothers,Saturate
Madcon,Beggin
Korn,Coming Undone
Bob Dylan,Tangled up in Blue
Jazmine Sullivan,Bust Your Windows
Porter Robinson,Lionhearted
Bee Gees,Stayin' Alive
Moby,The Perfect Life (with Wayne Coyne)
Deadmau5,Phantoms Can't Hang
Suede,So Young
Galimatias,Pretty Thoughts
Hypocrisy,Eraser
Noisia,Tommy's Theme
Kasabian,Fire
The Fray,Rainy Zurich
Различные исполнители,По следам бременских музыкантов: Давным-давно на белом свете
The Rumjacks,The Terrible Sea
Imany,You Will Never Know
Nick Cave & the Bad Seeds,More News From Nowhere
The Prodigy,Voodoo People
Depeche Mode,Policy of Truth
Electric Six,Danger! High Voltage
Rubblebucket,Carousel Ride
Tobacco,Father Sister Berzerker
Kosheen,Catch
System of a Down,Aerials
Adele,Skyfall
Rod Saviano,Behind The Moon
The Script,Hall of Fame
Bee Gees,Stayin' Alive
oOoOO,Mouchette
Imagine Dragons,Radioactive
Guano Apes,Kumba Yo !
Massive Attack,Live With Me
Anna Kendrick,Cups (Pitch Perfect's When I'm Gone)
Beck,Blue Moon
Gabrielle Aplin,Please Don't Say You Love Me
Zedd,Clarity
Fitness Beats,Bonus Adrenaline Mix (Continuous Mix)
Lorde,Team
Lorde,Royals
Kings of Leon,TBD10
The Red Elvises,My Love Is Killing Me
Kavinsky,Nightcall
The Lonely Island,Everything Is Awesome!!!
Knife Party,Destroy Them With Lasers
Yes,Owner Of A Lonely Heart
Paul McCartney,Hope of Deliverance
Kay Kyser,Jingle Jangle
Sia,I Go to Sleep
FPU,Crockett's Theme
Amy Macdonald,Mr Rock & Roll
Avicii,Hey Brother
Ellie Goulding,Burn
Avicii,Wake Me Up
Katy Perry,Roar
Marilyn Manson,Sweet Dreams (Are Made of This)
Empire of the Sun,We Are the People
Bee Gees,Stayin' Alive
Daft Punk,The Son of Flynn
Infected Mushroom,Bass Nipple
Lucinda Williams,Are You Alright?
John Legend,Who Did That To You?
Bee Gees,Stayin' Alive
The Rolling Stones,"Paint It, Black"
H.I.M.,Right Here In My Arms
Suede,New Generation
The Doors,L.A. Woman
Queen,"Seven Seas of Rhye [Live at The Rainbow, London / March 1974]"
Creed,Don't Stop Dancing
Vangelis,Ask the Mountains
Lana Del Rey,West Coast
John Maus,Keep Pushing On
Suzanne Vega,Luka
Touch & Go,Would You...?
John Newman,Love Me Again [Max Sanna & Steve Pitron Remix]
John Newman,Love Me Again
Skunk Anansie,Because of You
Moby,The Day [Basto! Remix]
Röyksopp,Monument [T.I.E. Version]
Röyksopp,Skulls
Capital Cities,Tell Me How To Live
Lee Ritenour,Maybe Tomorrow
Sarah McLachlan,Dirty Little Secret [Thievery Corporation Mix]
Rod Stewart,This
Edward Maya,Stereo Love
Jimi Hendrix,All Along The Watchtower [Alternate Take]
The Fray,You Found Me
David Bowie,New Killer Star
Imagine Dragons,On Top Of The World
H-Blockx,The Power
Morten Harket,Darkspace
a-ha,The Bandstand
Bruce Springsteen,Streets of Philadelphia
Robbie Williams,Strong
Marlon Roudette,New Age
Skunk Anansie,You'll Follow Me Down
Adam Lambert,Ghost Town
Deep Purple,Highway Star
Jess Glynne,Hold My Hand
Bob Dylan,Blowin' in the Wind
a-ha,The Bandstand
Top Cats,If I Don't Have You
Dredg,Planting Seeds
Moby,Slipping Away [MHC Extended Remix]
Motorcycle,As the Rush Comes [Gabriel & Dresden Chillout Mix]
Harold Faltermeyer,Axel F
Nina Simone,"Ain't Got No - I Got Life (From the Musical Production ""Hair"")"
Cocteau Twins,Heaven Or Las Vegas
Erasure,Always
Quantic,Similau (with the Combo Barbaro) [feat. Combo Barbaro]
Beck,Sexx Laws
Mumiy Troll,Kot Kota (Cat On Cat)
Partial Arts,Taifa
Love Affair,Blind
Shakira,Try Everything
Rammstein,Engel
Green Day,Holiday (Faded Ending)
AronChupa,I'm an Albatraoz
Adele,Skyfall
The Weeknd,The Hills
Taylor Swift,We Are Never Ever Getting Back Together
소녀시대,Mr. Taxi
Professor Green,Read All About It (feat. Emeli Sandé)
Dikla,Bonbonyerot
Eurythmics,Sweet Dreams (Are Made Of This)[Steve Angello Bootleg]
Depeche Mode,The Things You Said [2006 Remastered Version]
Donovan,Jennifer Juniper
Pink,U R Bad
Men Without Hats,The Safety Dance
The xx,Intro
Kylie Minogue,Can't Get You Out of My Head
The Box Tops,The Letter
Donna Lewis,I Love You Always Forever
Bobina,Invisible Touch (Ferry Corsten's Touch)
System of a Down,Toxicity
Kosheen,Catch
David Guetta,"Lift Me Up (feat. Nico & Vinz, Ladysmith Black Mambazo)"
Emile & Images,Shame Shame Shame
Perturbator,Neo Tokyo
Massive Attack,Live With Me
Dire Straits,You and Your Friend
Aperture Science Psychoacoustic Laboratories,Cara Mia Addio
Aperture Science Psychoacoustic Laboratories,Still Alive
The Troggs,With a Girl Like You
